CDR_ID,CDR_SUB_ID,STD_EVT_TYPE_ID,OBJ_ID,OWNER_CUST_ID,PRI_IDENTITY,DEFAULT_ACCT_ID,BILL_CYCLE_ID,SERVICE_CATEGORY,USAGE_SERVICE_TYPE,ACTUAL_USAGE,RATING_USAGE,USAGE_MEASURE_UNIT,FREE_UNIT_USAGE,FREE_UNIT_MEASURE_UNIT,ACTUAL_CHARGE,TOTAL_TAX_AMOUNT,CHARGE_CURRENCY_ID,RESERVE3,RESERVE8,RESERVE10,RECHARGE_CARD_INFO,CDR_ID.1,CDR_SUB_ID.1,PAY_ACCT_ID,PAY_OBJECT_ID,PAY_OBJECT_TYPE_ID,CHARGE_CODE,OFFERING_ID,PLAN_ID,DEDUCT_CHARGE_AMOUNT,TAX_AMOUNT1,TAX_AMOUNT2,TAX_AMOUNT3,CHARGE_CURRENCY_ID.1,PAY_CURRENCY_ID,CUST_ID,BILL_CYCLE_ID.1,CP_BILL_CYCLE_ID,CallingPartyNumber,CallingPartyIMSI,CallingCellID,TotalFlux,UpFlux,DownFlux,IMEI,ServiceID,SPID,CategoryID,ContentID,ChargingID,TransitionID,BrandID,MainOfferingID,ChargingPartyNumber,PayType,ChargingType,RoamState,CallingHomeAreaNumber,CallingRoamAreaNumber,HomeZoneID,SpecialZoneID,CallingVPNTopGroupNumber,CallingVPNGroupNumber,OnlineChargingFlag,DataZoneID,RoamingZoneID,ChargePartyIndicator,UsagePayLimitList,RuleBaseID,FluxPoolChargeFlag,locationID,recordSeqNum,ACTUAL_USAGE.1,RATE_USAGE,FREE_USAGE,USAGE_MEASURE_ID,accountId,CurrencyId,secCallIdFile,secIdFile,plmnId,cluster
701000074484054355,0,11007,100290050014031045,100290012107171686,209260509632699616,100290012200301647,20251001,5,31,11366.0,11366.0,1106.0,0.0,0.0,0.0,0,1037,5058,1999.0,0,3.39,615383491183936544,140911255317667135,390453883788770379,762224760446664604,336605190613419543,150.73,566474767849720734,256932450715021302,65.46,37.78,195.6,168.97,228115621282958947,361046122994902116,357272839171289796,682333485303557920,632202714947441767,267612901372081370,368010112777401,743575577857595008,553356,500019,45228,86612705642260,845275393487574784,803590989610809304,956566331475731919,259639696074305684,198455561452178252,990038853404038095,53675555888087737,159619906095196305,867286662926625209,2,1,3,903444372565636706,644158289662182676,994549554616576529,964888694857746708,351262645691516122,182237708127135799,1,806568803645435890,147216387225556607,1.37,92067,376281563045141997,135.8,522417364572241547,569918522565593497,218304,50218,817922,536023396189802042,51302099358223806,700592085706747011,963029466852588474,751128959277482614,158429159860739880,-1
701000074483396464,0,11007,100290050014031045,100290012107171686,235275617179732135,100290012200301647,20251001,5,31,540.0,540.0,1106.0,0.0,0.0,0.0,0,1037,5058,1999.0,0,93.42,402960097160037251,771049439551662843,202436283266451024,202563492181176776,883040920410424535,114.57,852508133490708192,645196131049648108,121.19,22.56,5.93,82.55,344193943586992546,344754292534499232,187423337052942686,973652046434393342,500795623969848719,631712902377301239,368010112783661,803151182348534401,815254,434065,13272,86612705644816,440493503603562189,241339235913801790,283154762136932415,503475103547358203,609005910843189754,714762724869232224,175063991341083587,189555291584523969,505150226910990936,2,1,2,188298318513730495,955892446791279801,222577872161985295,788643988243735105,17533924779051557,515393426042638909,0,433729427481808325,514399216313302741,197.01,741906,317064960146304251,136.15,725126045839797421,784802156794025075,20506,496629,62246,958325202788164397,97482719846397612,917195287404846702,909618681818426932,143529929556116997,461252407668409284,-1
701000074483396472,0,11007,100290050014031045,100290012107171686,301396809830430677,100290012200301647,20251001,5,31,2292.0,2292.0,1106.0,0.0,0.0,0.0,0,1037,5058,1999.0,0,84.61,730637332912879114,32200436576739880,352074510615994222,648136197067742611,79762726934837005,88.83,893307939681127200,759489959636802028,171.91,51.36,83.99,185.2,246474007523383238,625088791668910033,698986586434168654,396669293955008199,84249145252068179,884982456213808778,368010112754313,725849991546112975,275582,235985,359742,86612705645960,770801178205287190,24218772785153466,35510240000216260,495988281419239180,446378359250006010,772448850531181038,632044107048746759,56033820784818134,292682554970715015,1,1,3,888775494265905332,813223363769096068,370892342768759183,150889914293072845,347404297224659511,370780417894304089,0,996776289333474862,947927193120522488,133.01,710048,378027874771877669,66.6,81086833878370335,178377137355001908,309092,859583,510791,204279027999055087,958299690347526981,954139448530935303,370707042295302492,6130481995484388,537539328666165073,-1
701000074483601501,0,11007,100290050014031045,100290012107171686,420294285210018125,100290012200301647,20251001,5,31,100.0,100.0,1106.0,0.0,0.0,0.0,0,1037,5058,1999.0,0,168.64,424296286229505594,295460355006325266,979413775618961246,422096856051077656,630018436057829880,191.7,933026333602523493,887907827914407005,15.82,76.65,174.47,115.49,939272136873984063,462530124000442221,371625934243733445,741920740654064158,851406750641224221,65425070356154298,368010112762131,432917741605193265,707074,489798,318437,86612705645152,222947835389010005,810105468153373195,47471917084948812,768617628651418032,21712812604815557,672340141725796049,788364111763481887,124832414410632805,392385783408249334,1,0,3,215521574458328778,643861480147595400,361070780647801768,24246324157183595,44348547105477315,13719996768612156,0,727160269497405653,7711801205531926,116.59,545794,890210612974158481,199.16,688752574362188246,675549361940582829,605199,263882,245632,950197446534450424,903675375615160391,301691138713209850,878741457066789529,867574155132517705,170791895769476891,-1
701000074484508409,0,11007,100760011312490647,100760011100594376,976899894393663908,100760011212490647,20251001,5,31,1412549970.0,1412549970.0,1106.0,0.0,0.0,0.0,0,1037,3001,704.0,7,46.48,682345584001852549,168477500737513473,241973528964286686,775428535176672083,631787615145984232,160.61,511672751301640954,384238803932359729,131.22,113.88,166.35,188.69,320586846953091570,839378221562049921,936744338665121798,594709492825766052,482069577439215655,596040258174505852,368010112775494,974169308875330803,742725,539700,551359,86612705646026,716182988958067704,850397224554743803,36767990568419854,862485589087597040,855157237799185928,682390176445259413,428719464882296968,21275014867163563,116709164846785132,2,1,0,121469746602181940,828954324124144026,461070864308255725,780986655013091738,214644460279744237,831041661521839692,1,651619363229752928,938433115664162325,38.04,567838,467024143189697237,118.88,829778954309599121,7313919021026795,916646,258560,902812,79033304733795126,511397668323067409,934801737961620869,97689853027413371,402759170575939835,658818058112077789,-1
701000074484433722,0,11007,100290050014031045,100290012107171686,830118407468784649,100290012200301647,20251001,5,31,3430.0,3430.0,1106.0,0.0,0.0,0.0,0,1037,5058,1999.0,0,107.4,871941813840549867,743445194495791498,995384518238097360,927639565255182960,854093592466837052,171.34,628145639878430065,102676570950572054,145.52,31.24,40.44,198.66,715640487179485522,499250070850844821,991528184051370550,310937548438627055,957163824681361880,960684859153970801,368010112767674,873277073935899799,131137,895605,239926,86612705647532,570643324042936073,608621858442020603,130559298059356319,915498926616674236,114046792329652270,508903061736229895,360886523380208328,475357547821764998,604357456344484058,2,0,3,820966735076325657,964194268858127363,370154744408008687,267600558170522680,39157119771757436,913077863216628639,0,4666948307222903,729957669328703143,79.02,957068,828384352983456528,128.19,994458413579844939,366129925854956605,178902,262913,107910,867430787363173139,741884767129425950,149855738634662375,593438055632916118,535691185532452420,211194758103359888,-1
701000074484696039,0,11007,100730012314221666,100730012107164036,733745993627394970,100730012204265310,20251001,5,31,44364.0,44364.0,1106.0,0.0,0.0,0.0,0,1037,50701,704.0,0,98.99,848058674347078099,57215865499125137,530484516133521379,523682884434541432,459298285667332387,81.83,983201211549490334,942581212638944598,140.48,91.52,11.15,160.9,986747299459525412,65137343392708660,465530430850670387,25843644520866324,277713632309717238,216785745901834094,368010112757502,28373610190674940,443834,465205,911954,86612705649449,151966248966242869,731235110040668662,588544678627856664,822137912654871669,433515496164927245,76219541600826682,322677929879063015,234195466680506318,394083358375294800,1,0,3,235123360371850914,348972407072859062,291509546783431895,297204716091963331,843966739754893632,144110533439937331,1,816570167852755163,167899710683339865,119.71,618901,710091736992168571,148.28,253915633695995549,840039353679512630,374617,30450,940219,683302131908959996,893562364832076218,120915868827354734,910065469671748029,827924927160549859,666241938143782383,-1
701000074484696041,0,11007,100730012314221666,100730012107164036,486601400060615125,100730012204265310,20251001,5,31,69174.0,69174.0,1106.0,0.0,0.0,0.0,0,1037,50701,705.0,0,22.82,129417315366650485,553538649472799181,282736911972694127,537497143012790886,400456027845336630,107.69,213371234793059052,472475796042053019,188.26,167.8,123.33,126.19,69751188667207439,26459279874456118,80348885311181731,312031331653232485,271066302553869079,507275489138082292,368010112705001,280023836391659153,931182,206587,732563,86612705642032,871683233689564744,401406167816443538,120280054818594880,586102563809720089,957771342499174714,290007496355271852,492388118817471584,884251587823059680,413700984637477203,1,0,3,565758837299247903,693491854427460603,944766757522485866,599128134939880633,364904902547296844,280036177787635790,1,825614441024530396,549891284626310702,85.0,508985,148828979407959834,80.29,883285830674660164,550630677926179269,487212,272384,619952,623049616259672675,978966204657358524,44460500416224436,537092673729836307,934278848086718004,267577723528807161,-1
701000074484851795,0,11007,100290050014031045,100290012107171686,929500246559641913,100290012200301647,20251001,5,31,14597.0,14597.0,1106.0,0.0,0.0,0.0,0,1037,5058,1999.0,0,93.52,119629578049698366,536072988186332046,406730205091501318,799900639494020093,828129197268996055,21.8,381423779725725829,91798294954759714,197.54,191.76,193.78,195.29,854251390654282732,99077010350934465,62944211349088574,187422120723402880,817593572881883345,572914564227373798,368010112709942,968169842965668194,492559,216170,718438,86612705647718,249865756450436705,181083842952417802,327904594227170949,131314328096999391,853280657477307708,948367064141509363,349480963296263968,635320066932480794,726776152006477462,2,0,0,652207915467928968,70364291099104797,749882207138870417,219382788828178869,169175833955454309,195140299856596397,1,506718901506064629,487871876938087292,58.03,307082,794067805185170987,95.32,265832068409966115,931830604420798728,907144,423173,174597,587691369006131771,92717219073288447,765438395817398944,614095375227846644,469503214152430939,899979058070165654,-1
701000074484519555,0,11007,100890011306167187,100890011101830589,688742846670504117,100890011206167187,20251001,5,31,1027339677.0,1027339677.0,1106.0,0.0,0.0,0.0,0,1037,550,707.0,57,15.5,598744747854486407,378771030116964287,118628550882192794,31338419707390213,103825281330414522,91.08,715815199382153865,559857416197726301,155.45,121.77,165.61,174.25,246042283325906757,509948843303089937,939214493341438534,438379110093498361,930560507512973102,896806835147518142,368010112752875,97655257192718642,702720,733820,354682,86612705643450,832227336726667173,248981122212549039,324246538535538444,732723066973269251,50975506955953956,830913420427722486,29639807098335892,870881732238112522,826792878789883275,0,1,1,872028590381639717,86726483297507007,616595476415065808,85385291797756997,771506890682609483,154217158566101959,0,651497145990685117,621444957174589811,142.51,638271,172116565801380427,114.56,564706947166385955,358118679388013208,123252,363339,357452,286339097493618061,116629635180553169,405590236580013063,793664043005682650,336233890951474345,956809669378097462,-1
